"","V1","V2","Time"
"1",0.8,1.13435942644979,1
"2",0.8,0.331821153483757,2
"3",0.8,0.109568883507353,3
"4",0.8,0.101209075554318,4
"5",0.8,0.0849826004791737,5
"6",0.8,0.0851368495693059,6
"7",0.8,0.0780958864911065,7
"8",0.8,0.0760761959863972,8
"9",0.8,0.0718939064888831,9
"10",0.8,0.0695305737773164,10
"11",0.8,0.0666379532455806,11
"12",0.8,0.0645320474924121,12
"13",0.8,0.0624228811481419,13
"14",0.8,0.0606666513340906,14
"15",0.8,0.0589781645678939,15
"16",0.8,0.0574746600840123,16
"17",0.8,0.0560992150180633,17
"18",0.8,0.0552313421858108,18
"19",0.8,0.0544182614169964,19
"20",0.8,0.0536668438055208,20
"21",0.8,0.0529520062844253,21
"22",0.8,0.0522662008019865,22
"23",0.8,0.0516035743258687,23
"24",0.8,0.0509639108664652,24
"25",0.8,0.0503447462617245,25
"26",0.8,0.0497454413688592,26
"27",0.6,1.13435942644979,1
"28",0.6,0.526976840362937,2
"29",0.6,0.24699961836177,3
"30",0.6,0.144350829012165,4
"31",0.6,0.105874469793997,5
"32",0.6,0.0926882526147266,6
"33",0.6,0.0867026256243895,7
"34",0.6,0.0827670345007883,8
"35",0.6,0.0795598471156009,9
"36",0.6,0.0767244888243761,10
"37",0.6,0.0741616867728653,11
"38",0.6,0.0718211559308467,12
"39",0.6,0.0696697109598619,13
"40",0.6,0.0676916862307681,14
"41",0.6,0.065869988022734,15
"42",0.6,0.0642314500019178,16
"43",0.6,0.0627296601079953,17
"44",0.6,0.0613427652501926,18
"45",0.6,0.060050238374327,19
"46",0.6,0.0588381115586336,20
"47",0.6,0.0577000176888392,21
"48",0.6,0.0566292653048844,22
"49",0.6,0.0557476784124939,23
"50",0.6,0.0551078416417451,24
"51",0.6,0.0545006990720949,25
"52",0.6,0.0539185691535052,26
"53",0.4,1.13435942644979,1
"54",0.4,0.722186080706853,2
"55",0.4,0.466930073463629,3
"56",0.4,0.309039863789106,4
"57",0.4,0.213628055867244,5
"58",0.4,0.156970744729358,6
"59",0.4,0.124094397069548,7
"60",0.4,0.105578813171526,8
"61",0.4,0.0953244465577695,9
"62",0.4,0.0893776875548539,10
"63",0.4,0.0854510767086755,11
"64",0.4,0.082542291919442,12
"65",0.4,0.0801702091763392,13
"66",0.4,0.0781109932323496,14
"67",0.4,0.0762571602354561,15
"68",0.4,0.0745432473675318,16
"69",0.4,0.0729389153572333,17
"70",0.4,0.0714307295528313,18
"71",0.4,0.0700056896686767,19
"72",0.4,0.0686564672111314,20
"73",0.4,0.0673845828429062,21
"74",0.4,0.0661794337787271,22
"75",0.4,0.0650456463714813,23
"76",0.4,0.063995361306756,24
"77",0.4,0.063000349355963,25
"78",0.4,0.0620520290173118,26
"79",0.2,1.13435942644979,1
"80",0.2,0.918161311252259,2
"81",0.2,0.7559590445991,3
"82",0.2,0.623501978245108,4
"83",0.2,0.51550304789925,5
"84",0.2,0.427850125049022,6
"85",0.2,0.356971420651066,7
"86",0.2,0.299830872689851,8
"87",0.2,0.253899866821716,9
"88",0.2,0.217085830541789,10
"89",0.2,0.187668265135078,11
"90",0.2,0.164250128379597,12
"91",0.2,0.145692582472576,13
"92",0.2,0.131060492209318,14
"93",0.2,0.119586481525477,15
"94",0.2,0.110644385976563,16
"95",0.2,0.103707977801852,17
"96",0.2,0.0983326971528248,18
"97",0.2,0.0941549091247399,19
"98",0.2,0.0908745986986421,20
"99",0.2,0.0882438825375568,21
"100",0.2,0.0860709912508211,22
"101",0.2,0.0842299385668007,23
"102",0.2,0.0826401967598191,24
"103",0.2,0.0812405865305175,25
"104",0.2,0.0799853101386144,26
